Date,Open,High,Low,Close,Adjusted_close,Volume
5/11/2009,91.7,92.11,91.04,91.24,73.8963,247923537
5/12/2009,91.63,91.83,89.85,90.97,73.6775,282431248
5/13/2009,89.74,90.01,88.5,88.68,71.8229,269619034
5/14/2009,88.72,90.12,88.5,89.44,72.4385,260098610
5/15/2009,89.37,90,88.15,88.71,71.8472,271502644
5/18/2009,89.55,91.34,88.5702,91.23,73.8883,242217264
5/19/2009,91.18,91.97,90.81,91.12,73.7991,206102165
5/20/2009,91.95,92.8,90.41,90.51,73.3052,285898129
5/21/2009,89.46,89.8,88.26,89.21,72.252,258988348
5/22/2009,89.46,90,88.68,89.02,72.0982,166811890
5/26/2009,88.36,91.56,88.32,91.3,73.9447,236318435
5/27/2009,91.44,91.75,89.53,89.67,72.6248,246313516
5/28/2009,90.46,91.34,89.1,90.92,73.6371,289094940
5/29/2009,91.42,93.7,90.68,92.53,74.9409,258641403
6/1/2009,93.67,95.17,93.43,94.77,76.7553,276246736
6/2/2009,94.4,95.37,87.53,94.85,76.8198,230874413
6/3/2009,94.04,94.13,92.76,93.65,75.8481,235403909
6/4/2009,94,94.67,93.3,94.53,76.5607,210102279
6/5/2009,95.49,95.67,93.8,94.55,76.5773,284257858
6/8/2009,93.84,95.1,93.04,94.16,76.2613,238565101
6/9/2009,94.69,95.145,94.02,94.64,76.65,225125447
6/10/2009,95.48,95.49,93.19,94.4,76.4554,296100341
6/11/2009,94.58,96.11,94.56,94.82,76.7958,275414130
6/12/2009,94.4,95.14,94,95.08,77.0063,184372990
6/15/2009,93.96,94.02,92.4,92.9,75.2407,224190426
6/16/2009,93.23,93.29,91.58,91.64,74.2203,227318999
6/17/2009,91.6,92.33,90.83,91.55,74.1475,223445332
6/18/2009,91.69,92.67,91.25,92.219,74.6896,211725057
6/19/2009,92.58,92.7,91.52,92.04,74.9654,215655554
6/22/2009,91.14,91.19,89.25,89.28,72.7174,251913590
6/23/2009,89.47,89.88,88.85,89.35,72.7742,188309715
6/24/2009,90.16,91.08,89.6,90.118,73.3998,211577613
6/25/2009,89.67,92.17,89.57,92.08,74.998,279410908
6/26/2009,91.77,92.24,91.27,91.84,74.8023,167578971
6/29/2009,92.11,92.82,91.6,92.7,75.503,168481226
6/30/2009,92.72,93.06,91.27,91.95,74.8923,228888184
7/1/2009,92.34,93.23,92.21,92.33,75.2014,173041091
7/2/2009,91.13,92.3624,89.76,89.81,73.149,212309828
7/6/2009,88.94,89.93,88.66,89.8,73.1407,174499587
7/7/2009,89.71,89.82,88,88.06,71.7235,197088848
7/8/2009,88.59,88.8,87,88,71.6747,248050486
7/9/2009,88.61,88.9,87.91,88.17,71.8134,163777534
7/10/2009,87.7,88.49,87.35,87.96,71.6419,173520274
7/13/2009,88.31,90.17,87.59,90.102,73.3868,217413403
7/14/2009,90.38,90.69,89.73,90.61,73.8005,181555369
7/15/2009,91.81,93.51,90.6795,93.26,75.9588,220877822
7/16/2009,93,94.51,92.82,94.15,76.6837,231174490
7/17/2009,94.06,94.32,93.54,94.13,76.6672,138561667
7/20/2009,94.68,95.29,94.19,95.131,77.4828,164179393
7/21/2009,95.87,95.9,94.42,95.57,77.8404,217718237
7/22/2009,94.96,96.13,94.89,95.55,77.824,196067554
7/23/2009,95.61,98.08,95.53,97.661,79.5438,258795486
7/24/2009,97.2,98.14,96.69,98.06,79.8685,154003013
7/27/2009,97.88,98.4,97.34,98.35,80.1049,159259390
7/28/2009,97.66,98.37,97.06,97.89,79.7301,186685697
7/29/2009,97.44,98.088,96.98,97.652,79.5363,194399284
7/30/2009,98.83,99.83,98.6,98.67,80.3653,225575365
7/31/2009,98.65,99.47,98.38,98.81,80.4794,207357955
8/3/2009,99.85,100.53,99.31,100.44,81.8072,175776845
8/4/2009,99.99,100.84,99.78,100.7,82.0188,176714531
8/5/2009,100.77,100.855,99.58,100.41,81.7827,184726382
8/6/2009,100.87,101.02,99.42,99.89,81.3589,193203766
8/7/2009,100.94,102.03,100.39,101.202,82.4275,220684347
8/10/2009,100.74,101.22,100.27,100.99,82.2551,130898603
8/11/2009,100.54,100.61,99.46,99.73,81.2286,157300973
8/12/2009,99.56,101.56,99.51,100.8,82.1002,219052366
8/13/2009,101.26,101.61,100.26,101.57,82.7273,176449495
8/14/2009,101.52,101.6,99.7,100.79,82.0923,199691264
8/17/2009,98.85,98.95,98.115,98.31,80.0723,237892610
8/18/2009,98.53,99.44,98.35,99.09,80.7077,173461411
8/19/2009,98.31,100.3,98.21,99.96,81.4161,192812731
8/20/2009,100.09,101.22,99.87,100.99,82.2551,174131266
8/21/2009,101.82,103.13,101.62,102.97,83.8677,224604936
8/24/2009,103.39,103.95,102.59,102.96,83.8595,191278905
8/25/2009,103.37,104.26,102.94,103.16,84.0227,215310557
8/26/2009,102.84,103.64,102.49,103.17,84.0301,194620649
8/27/2009,103.11,103.72,101.94,103.4,84.218,196230012
8/28/2009,104.23,104.35,102.67,103.38,84.2017,147024385
8/31/2009,102.37,102.58,101.79,102.46,83.4523,176051535
9/1/2009,101.95,103.24,99.99,100.2,81.6114,321276728
9/2/2009,99.78,100.44,99.57,99.82,81.3017,171804979
9/3/2009,100.4,100.77,99.59,100.65,81.9781,143572281
9/4/2009,100.85,102.09,100.55,102.06,83.1263,142687808
9/8/2009,103,103.05,102.39,102.94,83.8433,132909024
9/9/2009,103.12,104.08,102.8,103.73,84.4864,154612484
9/10/2009,103.8,104.86,103.22,104.79,85.35,162902370
9/11/2009,104.99,105.3,104.28,104.77,85.3335,152383638
9/14/2009,103.88,105.46,103.15,105.28,85.7491,149593734
9/15/2009,105.45,106.11,104.76,105.72,86.1075,196795897
9/16/2009,106.1,107.34,105.7288,107.32,87.4102,206406229
9/17/2009,107.17,108.06,106.57,107.16,87.2805,229170848
9/18/2009,107.15,107.16,106.36,106.72,87.3359,153799032
9/21/2009,105.89,107,105.66,106.45,87.1149,151891981
9/22/2009,107.08,107.37,106.6,107.07,87.6224,143126642
9/23/2009,107.32,108.03,105.99,106.18,86.894,225947337
9/24/2009,106.41,106.64,104.55,105.01,85.9364,228636708
9/25/2009,104.78,105.36,104.09,104.45,85.4784,204058931
9/28/2009,104.85,106.55,104.83,106.32,87.0085,118285775
9/29/2009,106.51,107.02,105.78,106,86.7465,133733834
9/30/2009,106.36,106.46,104.62,105.59,86.4115,254382968
10/1/2009,105.34,105.7331,102.95,103,84.2914,281840568
10/2/2009,102.02,103.1,101.99,102.49,83.8743,224748757
10/5/2009,102.9,104.32,102.6,104.02,85.1266,149874949
10/6/2009,104.77,106.11,104.71,105.51,86.3455,202491015
10/7/2009,105.27,105.91,105.07,105.8,86.5828,159200262
10/8/2009,106.55,107.17,105.8449,106.61,87.2459,183305731
10/9/2009,106.64,107.26,106.36,107.26,87.7777,135008260
10/12/2009,107.76,108.09,107.28,107.68,88.1216,118030971
10/13/2009,107.39,107.7132,106.76,107.46,87.9416,157692668
10/14/2009,108.72,109.42,107.4174,109.31,89.4555,191421516
10/15/2009,108.78,109.71,108.73,109.71,89.7829,173873591
10/16/2009,108.8,109.27,108.23,108.89,89.1119,192069345
10/19/2009,109.07,110.13,108.73,109.79,89.8484,159530358
10/20/2009,109.95,109.985,108.68,109.211,89.3745,180921009
10/21/2009,109.04,110.31,108.15,108.23,88.5715,225787463
10/22/2009,108.19,109.68,107.5,109.33,89.4716,238443948
10/23/2009,109.69,109.76,107.63,108.08,88.4489,240033192
10/26/2009,108.2,109.31,106.61,106.91,87.4913,242028169
10/27/2009,107.03,107.39,106.16,106.42,87.0905,253266295
10/28/2009,106.15,106.4783,104.35,104.41,85.4454,248821371
10/29/2009,105.19,106.86,104.94,106.65,87.2789,198110571
10/30/2009,106.3,106.62,103.44,103.56,84.75,325608088
11/2/2009,104.13,105.41,103.08,104.32,85.3719,254489769
11/3/2009,103.74,104.8,103.54,104.65,85.6416,228362523
11/4/2009,105.51,106.33,104.65,104.92,85.8631,247996688
11/5/2009,105.66,106.88,105.44,106.8501,87.4425,180015203
11/6/2009,106.26,107.4,106.05,107.13,87.6718,170954088
11/9/2009,107.95,109.63,107.87,109.57,89.6683,159495654
11/10/2009,109.31,109.93,108.97,109.59,89.6849,171899752
11/11/2009,110.31,110.82,109.62,110.15,90.143,169466161
11/12/2009,110,110.57,108.75,109.03,89.2265,157144501
11/13/2009,109.31,110.09,108.75,109.62,89.7094,150962935
11/16/2009,110.38,111.69,110.32,111.21,91.0106,210922108
11/17/2009,110.92,111.39,110.5,111.339,91.1159,147134089
11/18/2009,111.26,111.43,110.57,111.27,91.0596,156486734
11/19/2009,110.51,111.3059,109.13,109.82,89.8733,208734520
11/20/2009,109.25,109.76,109.01,109.43,89.5535,134195979
11/23/2009,110.72,111.74,110.6,110.82,90.6911,148010135
11/24/2009,111,111.2022,110.01,110.99,90.8305,138420046
11/25/2009,111.17,111.5,110.82,111.38,91.1493,109564770
11/27/2009,108.4,110.32,108.29,109.57,89.6683,126001795
11/30/2009,109.48,110.2,108.12,109.94,89.9708,160874797
12/1/2009,110.92,111.66,110.73,111.3,91.084,159613619
12/2/2009,111.28,112.01,110.92,111.25,91.0434,132315059
12/3/2009,111.55,112.18,110.29,110.38,90.3309,167324826
12/4/2009,111.84,112.38,110.04,111.01,90.847,274907788
12/7/2009,110.91,111.53,110.49,110.84,90.7075,127973802
12/8/2009,110.04,110.7725,109.27,109.61,89.701,169863654
12/9/2009,109.58,110.18,109.02,110.021,90.0372,155063348
12/10/2009,110.7,111.12,110.45,110.64,90.5442,138014637
12/11/2009,111.11,111.36,110.61,111.11,90.9288,124853988
12/14/2009,111.87,112,105.476,111.87,91.5504,107141486
12/15/2009,111.46,111.92,111,111.35,91.1252,120408777
