Date,Open,High,Low,Close,Adjusted_close,Volume,Id
5/11/2009,41.15,41.92,40.2,41.27,40.1128,1066613,89
5/12/2009,41.52,41.96,39.8,40.43,39.2964,1423980,90
5/13/2009,39.93,40.42,39.5,39.76,38.6452,1657532,91
5/14/2009,39.72,41.51,39.72,39.93,38.8103,1477941,92
5/15/2009,39.95,40.98,39.61,40.66,39.5201,1159925,93
5/18/2009,41.12,42.0398,40.43,41.97,40.7932,1757416,94
5/19/2009,43.03,44.13,43.03,43.38,42.1637,3061540,95
5/20/2009,43.96,44.03,42.47,42.89,41.6875,2951956,96
5/21/2009,42.53,43.16,41.5,42.77,41.5707,4158687,97
5/22/2009,43.18,43.76,42.6,43,41.794,2091758,98
5/26/2009,42.6,45.2,42.43,45.13,43.8647,3451226,99
5/27/2009,44.6,45,43.87,44.15,42.9123,2489670,100
5/28/2009,44.52,44.76,42.25,43.42,42.2028,2876001,101
5/29/2009,43.445,43.46,41.98,42.59,41.396,3022723,102
6/1/2009,43.19,44.11,42.63,43.85,42.6206,2640811,103
6/2/2009,44.1,45.45,43.85,45.15,43.8838,2473818,104
6/3/2009,44.75,45.2,44.34,45.15,43.8838,1651099,105
6/4/2009,45.15,45.25,43.74,44.56,43.3105,1526686,106
6/5/2009,44.74,44.98,43.5,43.78,42.5521,2034596,107
6/8/2009,43.59,44.26,42.91,43.96,42.7278,1431956,108
6/9/2009,44.06,44.6,43.62,44.35,43.1065,1277985,109
6/10/2009,44.47,44.5,42.86,43.5,42.2802,1600280,110
6/11/2009,43.41,43.67,41.43,41.52,40.3556,2995140,111
6/12/2009,41.39,41.56,40.685,41.24,40.0837,1932597,112
6/15/2009,40.75,41.548,40.5,41.49,40.3266,1808335,113
6/16/2009,41.82,41.82,40.65,40.84,39.695,1614420,114
6/17/2009,40.92,42.73,40.72,42.16,40.9781,1921404,115
6/18/2009,42.39,42.87,41.88,42.58,41.3861,1310477,116
6/19/2009,42.78,43.11,42.31,42.77,41.5707,2058092,117
6/22/2009,42.5,42.62,41.48,42.25,41.0652,1576127,118
6/23/2009,42.27,42.42,41.7435,41.86,40.6864,1357196,119
6/24/2009,41.94,42.01,40.73,41.01,39.9174,1477482,120
6/25/2009,40.89,42.32,40.86,42.05,40.9294,1168433,121
6/26/2009,42.08,42.42,41.66,41.77,40.6568,1181737,122
6/29/2009,42.07,42.18,41.3,41.56,40.4527,1601407,123
6/30/2009,41.62,42.19,41.22,41.49,40.3842,1393455,124
7/1/2009,41.71,42.29,41.49,42.09,40.9689,1521776,125
7/2/2009,41.69,42.62,41.67,42.24,41.1142,1672748,126
7/6/2009,41.83,43.2691,41.77,42.36,41.2315,1015638,127
7/7/2009,42.3,42.49,41.65,41.75,40.6377,1061342,128
7/8/2009,41.91,44.28,41.67,44.15,42.9739,3052396,129
7/9/2009,44.48,44.66,43.67,44.12,42.9444,1254338,130
7/10/2009,44.02,44.39,43.62,44.18,43.003,1073077,131
7/13/2009,44.12,44.98,43.22,44.92,43.7233,1427373,132
7/14/2009,44.83,45,44,44.39,43.2071,1652179,133
7/15/2009,44.45,45.04,44.22,44.92,43.7233,1793181,134
7/16/2009,44.93,45.59,44.63,45.41,44.1999,1273616,135
7/17/2009,45.37,45.58,44.98,45.26,44.0543,761492,136
7/20/2009,45.28,45.68,44.95,45.61,44.3948,1510366,137
7/21/2009,46.21,46.36,45.37,46.13,44.901,1212099,138
7/22/2009,46.12,47.09,45.8,46.46,45.2222,1010449,139
7/23/2009,46.62,47.22,46.017,46.6,45.3586,1281566,140
7/24/2009,46.31,46.8593,46.11,46.55,45.3092,566038,141
7/27/2009,46.63,46.77,45.77,46.48,45.2414,740908,142
7/28/2009,46.32,46.56,45.68,45.89,44.6671,906697,143
7/29/2009,45.7,46.25,44.91,45.35,44.1418,1145290,144
7/30/2009,45.6,47.41,45.6,47,45.7477,1919130,145
7/31/2009,47.01,47.17,46.12,46.23,44.9984,1071504,146
8/3/2009,46.53,47.08,45.68,47.06,45.8064,1211606,147
8/4/2009,47,47.06,45.28,45.46,44.2489,1101060,148
8/5/2009,45.5,45.66,44.22,45.13,43.9276,2025562,149
8/6/2009,45.14,45.83,44.4,45.33,44.1222,1356352,150
8/7/2009,45.87,47.08,45.51,46.96,45.709,1022395,151
8/10/2009,46.95,46.95,45.88,46.06,44.8328,911162,152
8/11/2009,45.79,46,44.98,45.23,44.025,1623735,153
8/12/2009,45.27,46.17,44.86,45.63,44.4142,1600517,154
8/13/2009,43.12,43.56,41.54,43.27,42.1171,5816520,155
8/14/2009,43.81,43.85,42.92,43.15,42.0002,2274133,156
8/17/2009,42.37,43.5,42.19,43.07,41.9225,1646975,157
8/18/2009,43.17,43.77,42.88,43.1,41.9519,1674342,158
8/19/2009,42.8,43.82,42.78,43.72,42.5549,1927291,159
8/20/2009,43.7,43.8,43.01,43.09,41.9423,2125342,160
8/21/2009,43.26,43.94,43.03,43.18,42.0293,1674455,161
8/24/2009,43.38,43.39,42.42,42.58,41.4453,2031652,162
8/25/2009,42.8,43.64,42.8,43.01,41.8643,1995222,163
8/26/2009,42.9,43.49,42.6,42.72,41.5818,1719939,164
8/27/2009,42.89,43.15,42.09,43.09,41.9423,1681814,165
8/28/2009,43.03,43.3,42.57,43.12,41.9712,1307592,166
8/31/2009,42.75,42.75,42.04,42.3,41.1731,1962272,167
9/1/2009,42.04,42.75,41.16,41.54,40.4331,1706217,168
9/2/2009,41.55,41.87,41.49,41.5,40.394,1222991,169
9/3/2009,41.77,41.9,41.1,41.62,40.5113,1580268,170
9/4/2009,41.55,41.6,41.05,41.2,40.1021,1606656,171
9/8/2009,41.36,41.81,40.99,41.5,40.394,1855448,172
9/9/2009,41.61,41.88,41.19,41.55,40.443,1791619,173
9/10/2009,41.48,41.76,40.36,40.61,39.5282,3503342,174
9/11/2009,40.65,40.65,38.08,39.15,38.1066,7883622,175
9/14/2009,38.92,39.87,38.32,39.67,38.6126,3094640,176
9/15/2009,39.63,39.87,38.6,39.03,37.9904,3105301,177
9/16/2009,39.22,39.34,38.48,38.78,37.7468,1922369,178
9/17/2009,38.64,39.4,38.57,38.71,37.6786,1876301,179
9/18/2009,38.76,39.29,38.76,39.28,38.2338,2636948,180
9/21/2009,39.09,40.35,38.77,40.11,39.0417,2804659,181
9/22/2009,40.19,40.79,40.12,40.32,39.2459,2441745,182
9/23/2009,39.69,39.87,38.53,38.63,37.657,4892818,183
9/24/2009,38.77,39.63,38.44,38.98,37.9983,3797107,184
9/25/2009,38.94,39.53,38.63,39.17,38.1834,1685373,185
9/28/2009,39.41,39.86,39.18,39.39,38.3975,1561906,186
9/29/2009,39.42,39.88,39.04,39.19,38.2028,1166389,187
9/30/2009,39.11,39.67,38.62,39.28,38.2905,2196208,188
10/1/2009,39.25,39.25,37.79,37.94,36.9846,2916759,189
10/2/2009,37.67,38.2,37.4,37.48,36.5357,2629227,190
10/5/2009,37.35,38.46,37.35,37.65,36.7015,1678528,191
10/6/2009,37.94,38.68,37.74,38.6,37.6274,3566707,192
10/7/2009,38.05,38.74,37.31,38.59,37.6177,3804275,193
10/8/2009,38.78,39.21,38.26,38.38,37.4134,2231985,194
10/9/2009,38.28,38.76,37.72,38.47,37.5009,2695674,195
10/12/2009,38.47,38.87,38.21,38.26,37.2961,1135045,196
10/13/2009,37.94,38.38,37.94,38.14,37.1793,850348,197
10/14/2009,38.55,39.3,38.55,39.2,38.2125,1476771,198
10/15/2009,39,39.48,38.87,39.37,38.3781,1151685,199
10/16/2009,39.215,39.76,39.02,39.65,38.6511,1638641,200
10/19/2009,39.62,39.92,38.83,39.41,38.4169,1938901,201
10/20/2009,39.24,39.33,38.33,38.4,37.4325,1422685,202
10/21/2009,38.41,38.71,37.43,37.46,36.5161,1362511,203
10/22/2009,37.52,37.82,37.26,37.74,36.7891,1332558,204
10/23/2009,37.74,37.83,36.48,36.7,35.7756,3128292,205
10/26/2009,36.63,37.24,36.46,36.61,35.6877,2349501,206
10/27/2009,36.44,37.54,36.11,36.91,35.9801,2389495,207
10/28/2009,37,37.79,36.13,36.49,35.5707,3250678,208
10/29/2009,37.1,37.97,36.67,37.25,36.3113,2938255,209
10/30/2009,37.22,37.71,37.07,37.26,36.3211,2666700,210
11/2/2009,37.61,37.65,36.41,36.87,35.9411,1960775,211
11/3/2009,36.63,38.62,36.63,38.54,37.5692,3111893,212
11/4/2009,38.84,38.99,37.41,37.42,36.4775,3610971,213
11/5/2009,37.81,37.98,37.3,37.72,36.7696,1486408,214
11/6/2009,37.62,38.15,37.38,38.04,37.0817,1862331,215
11/9/2009,38.22,38.62,38,38.19,37.2282,2695483,216
11/10/2009,38.13,39.42,37.7601,39,38.0176,3349712,217
11/11/2009,39.43,40.34,39.16,40.28,39.265,3886046,218
11/12/2009,38.15,39.02,37.57,38.69,37.7152,6422231,219
11/13/2009,38.32,39.375,37.92,39.25,38.2614,4468334,220
11/16/2009,39.39,39.845,38.97,39.6,38.6021,1975927,221
11/17/2009,39.6,40.2,39.44,39.86,38.8555,2160058,222
11/18/2009,39.85,41.05,39.85,40.96,39.9282,3238215,223
11/19/2009,40.84,40.95,40.01,40.12,39.109,2239880,224
11/20/2009,39.87,40.105,39.5,39.74,38.739,2005481,225
11/23/2009,39.92,40.42,39.02,39.39,38.3975,2084635,226
11/24/2009,39.31,39.51,39.02,39.16,38.1734,1415426,227
11/25/2009,39.35,39.54,38.54,39.47,38.4759,1456632,228
11/27/2009,38.67,39.94,38.44,39.45,38.4562,767181,229
11/30/2009,39.53,39.85,39.02,39.3,38.3096,1613061,230
12/1/2009,39.42,40.73,39.38,40.38,39.3623,2087255,231
12/2/2009,40.32,40.79,40.15,40.61,39.5869,1105055,232
12/3/2009,40.64,40.72,40.17,40.35,39.3334,1277985,233
12/4/2009,40.7,41.28,40.61,40.92,39.8888,1466182,234
12/7/2009,39.83,40.9,39.26,40.75,39.7236,2056828,235
12/8/2009,40.33,40.91,39.84,40.44,39.4211,1639445,236
12/9/2009,40.5,40.5,39.87,39.99,38.9826,1652250,237
12/10/2009,40.2,40.3,39.74,39.82,38.8165,2560981,238
12/11/2009,40.06,40.45,39.46,40.37,39.3528,1288605,239
12/14/2009,40.57,41.205,40.38,41.05,40.0158,1522400,240
12/15/2009,40.98,41.13,40.53,40.59,39.5671,957322,241
12/16/2009,40.68,41.01,40.57,40.72,39.6942,954809,242
12/17/2009,40.65,41.1,40.63,40.78,39.7525,1306889,243
12/18/2009,41.06,41.18,40.63,40.92,39.8888,1975935,244
12/21/2009,40.79,41.75,40.79,41.58,40.5324,1967889,245
12/22/2009,41.51,41.75,41.31,41.47,40.484,1199791,246
12/23/2009,41.7,41.77,41.18,41.37,40.3857,1056635,247
12/24/2009,41.45,41.59,41.11,41.38,40.3956,362901,248
12/28/2009,41.54,41.66,41.02,41.22,40.2396,1229384,249
12/29/2009,41.44,41.48,40.75,40.76,39.7904,1150082,250
12/30/2009,40.55,41.03,40.55,41.01,40.0346,1249314,251
12/31/2009,41.11,41.11,40.48,40.48,39.5173,894437,252
