SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,March-1-2019,Single Family Residential,11010 SE 25th St,Bellevue,WA,98004,1153400,4,2.0,Enatai,2057,11200,1976,213,561,,Sold,,,http://www.redfin.com/WA/Bellevue/11010-SE-25th-St-98004/home/510742,NWMLS,1392815,N,Y,47.5881619,-122.19339
PAST SALE,October-10-2018,Single Family Residential,1014 Belfair Rd,Bellevue,WA,98004,3180000,4,3.0,Vuecrest,3240,13347,2013,355,981,26,Sold,,,http://www.redfin.com/WA/Bellevue/1014-Belfair-Rd-98004/home/251685,NWMLS,1342520,N,Y,47.6196948,-122.2074794
PAST SALE,December-11-2018,Condo/Co-op,10000 Main St #307,Bellevue,WA,98004,750000,1,1.25,Downtown,946,18101,2010,293,793,735,Sold,,,http://www.redfin.com/WA/Bellevue/10000-Main-St-98004/unit-307/home/12437641,NWMLS,1381439,N,Y,47.6103502,-122.2059825
PAST SALE,June-14-2019,Condo/Co-op,14636 NE 45th St Unit C5,Bellevue,WA,98007,329900,1,1.0,Microsoft,819,425059,1980,108,403,377,Sold,,,http://www.redfin.com/WA/Bellevue/14636-NE-45th-St-98007/unit-C5/home/29103,NWMLS,1446663,N,Y,47.6501495,-122.1458432
PAST SALE,,Condo/Co-op,3911 Lake Washington Blvd SE Unit A-47,Bellevue,WA,98006,82940,,,,29,,1960,,2860,,,,,http://www.redfin.com/WA/Bellevue/3911-Lake-Washington-Blvd-SE-98006/unit-A-47/home/30748,,,N,Y,47.5753123,-122.1874482
PAST SALE,,Condo/Co-op,3911 Lake Washington Blvd SE Unit A-24,Bellevue,WA,98006,62502,,,,20,,1960,,3125,,,,,http://www.redfin.com/WA/Bellevue/3911-Lake-Washington-Blvd-SE-98006/unit-A-24/home/30990,,,N,Y,47.5753123,-122.1874482
PAST SALE,June-18-2019,Single Family Residential,12857 SE 45th Pl,Bellevue,WA,98006,1410000,5,2.5,Somerset,3160,12693,1961,104,446,50,Sold,,,http://www.redfin.com/WA/Bellevue/12857-SE-45th-Pl-98006/home/240089,NWMLS,1452895,N,Y,47.5638702,-122.1672176
PAST SALE,August-1-2019,Moorage,3911 Lake Washington Blvd SE Unit E-17,Bellevue,WA,98006,150000,0,,Newport Shores,,,1960,60,,92,Sold,,,http://www.redfin.com/WA/Bellevue/3911-Lake-Washington-Blvd-SE-98006/unit-E-17/home/29906,NWMLS,1466288,N,Y,47.5753123,-122.1874482
PAST SALE,November-16-2018,Single Family Residential,12505 SE 15th St,Bellevue,WA,98005,1251000,3,2.0,Woodridge,2230,9900,1959,318,561,,Sold,,,http://www.redfin.com/WA/Bellevue/12505-SE-15th-St-98005/home/509533,NWMLS,1372768,N,Y,47.5978778,-122.1733906
PAST SALE,,Condo/Co-op,805 142nd Pl SE,Bellevue,WA,98007,395000,2,1.5,,1318,,1984,,300,,,,,http://www.redfin.com/WA/Bellevue/805-142nd-Pl-SE-98007/home/73019,,,N,Y,47.6023613,-122.1519318
PAST SALE,July-10-2019,Townhouse,12547 NE 7th Pl,Bellevue,WA,98005,740000,3,2.5,Kelsey Creek,1309,,1994,82,565,524,Sold,,,http://www.redfin.com/WA/Bellevue/12547-NE-7th-Pl-98005/home/49936,NWMLS,1462387,N,Y,47.6167345,-122.1724627
PAST SALE,,Condo/Co-op,3911 Lake Washington Blvd SE Unit A-19,Bellevue,WA,98006,82940,,,,29,,1960,,2860,,,,,http://www.redfin.com/WA/Bellevue/3911-Lake-Washington-Blvd-SE-98006/unit-A-19/home/73976,,,N,Y,47.5753123,-122.1874482
PAST SALE,October-4-2018,Single Family Residential,12504 SE 70th St,Newcastle,WA,98056,750000,4,2.25,Newcastle,2020,8856,1967,361,371,,Sold,,,http://www.redfin.com/WA/Newcastle/12504-SE-70th-St-98056/home/415662,NWMLS,1350839,N,Y,47.5401115,-122.1735241
PAST SALE,June-18-2019,Single Family Residential,4633 149th Ave SE,Bellevue,WA,98006,690000,4,1.75,Eastgate,1910,8250,1955,104,361,,Sold,,,http://www.redfin.com/WA/Bellevue/4633-149th-Ave-SE-98006/home/237659,NWMLS,1465798,N,Y,47.5636506,-122.141993
PAST SALE,October-31-2018,Single Family Residential,9701 SE 7th St,Bellevue,WA,98004,1100000,5,2.0,Meydenbauer,2760,18019,1954,334,399,1,Sold,,,http://www.redfin.com/WA/Bellevue/9701-SE-7th-St-98004/home/253458,NWMLS,1338484,N,Y,47.6027933,-122.2091073
PAST SALE,,Single Family Residential,12931 SE 68th St,Bellevue,WA,98006,350000,4,1.75,,1460,7732,1970,,240,,,,,http://www.redfin.com/WA/Bellevue/12931-SE-68th-St-98006/home/413042,,,N,Y,47.5416706,-122.1666386
PAST SALE,June-14-2019,Single Family Residential,17456 NE 11th St,Bellevue,WA,98008,1095000,4,2.25,Bretton Wood,2100,8640,1972,108,521,,Sold,,,http://www.redfin.com/WA/Bellevue/17456-NE-11th-St-98008/home/503951,NWMLS,1456782,N,Y,47.6194274,-122.1066921
PAST SALE,July-30-2019,Single Family Residential,10210 SE 16th St,Bellevue,WA,98004,2752000,5,6.0,Enatai,5325,20570,2014,62,517,,Sold,,,http://www.redfin.com/WA/Bellevue/10210-SE-16th-St-98004/home/253636,NWMLS,1414488,N,Y,47.5973365,-122.2039
PAST SALE,November-7-2018,Townhouse,12721 SE 41st Place #319,Bellevue,WA,98006,667000,3,2.25,Bellevue,1332,,2000,327,501,426,Sold,,,http://www.redfin.com/WA/Bellevue/12721-SE-41st-Pl-98006/unit-319/home/21873,NWMLS,1368624,N,Y,47.5714475,-122.1700905
